url,total_results,total_pages
"https://immovlan.be/fr/immobilier?transactiontypes=a-vendre&propertytypes=maison,appartement&towns=1000-Bruxelles&page=",522,27
"https://immovlan.be/fr/immobilier?transactiontypes=a-vendre&propertytypes=maison,appartement&towns=1020-Laeken&page=",182,10
"https://immovlan.be/fr/immobilier?transactiontypes=a-vendre&propertytypes=maison,appartement&towns=1040-Etterbeek&page=",177,9
"https://immovlan.be/fr/immobilier?transactiontypes=a-vendre&propertytypes=maison,appartement&towns=1070-Anderlecht&page=",353,18
"https://immovlan.be/fr/immobilier?transactiontypes=a-vendre&propertytypes=maison,appartement&towns=1140-Evere&page=",190,10
"https://immovlan.be/fr/immobilier?transactiontypes=a-vendre&propertytypes=maison,appartement&towns=1210-Saint-Josse-Ten-Noode&page=",58,3
"https://immovlan.be/fr/immobilier?transactiontypes=a-vendre&propertytypes=maison,appartement&towns=1315-Piètrebais&page=",13,1
"https://immovlan.be/fr/immobilier?transactiontypes=a-vendre&propertytypes=maison,appartement&towns=1325-Chaumont-Gistoux&page=",54,3
"https://immovlan.be/fr/immobilier?transactiontypes=a-vendre&propertytypes=maison,appartement&towns=1342-Limelette&page=",11,1
"https://immovlan.be/fr/immobilier?transactiontypes=a-vendre&propertytypes=maison,appartement&towns=1350-Folx-Les-Caves&page=",81,5
